nome_job,data_dia,data_hora,mes
ME_MIGO_MIRO,2025-04-16,20:55:00,Abril
ME_MIGO_MIRO,2025-04-16,21:00:01,Abril
ME_MIGO_MIRO,2025-04-16,21:05:00,Abril
ME_MIGO_MIRO,2025-04-16,21:10:02,Abril
ME_MIGO_MIRO,2025-04-16,21:15:00,Abril
ME_MIGO_MIRO,2025-04-16,21:20:00,Abril
ME_MIGO_MIRO,2025-04-16,21:25:00,Abril
ME_MIGO_MIRO,2025-04-16,21:30:00,Abril
ME_MIGO_MIRO,2025-04-16,21:35:00,Abril
ME_MIGO_MIRO,2025-04-16,21:41:35,Abril
ME_MIGO_MIRO,2025-04-16,21:45:00,Abril
ME_MIGO_MIRO,2025-04-16,21:50:00,Abril
ME_MIGO_MIRO,2025-04-16,21:55:00,Abril
ME_MIGO_MIRO,2025-04-16,22:00:06,Abril
ME_MIGO_MIRO,2025-04-16,22:05:00,Abril
ME_MIGO_MIRO,2025-04-16,22:10:00,Abril
ME_MIGO_MIRO,2025-04-16,22:15:00,Abril
ME_MIGO_MIRO,2025-04-16,22:20:00,Abril
ME_MIGO_MIRO,2025-04-16,22:25:00,Abril
ME_MIGO_MIRO,2025-04-16,22:30:01,Abril
ME_MIGO_MIRO,2025-04-16,22:35:00,Abril
ME_MIGO_MIRO,2025-04-16,22:40:01,Abril
ME_MIGO_MIRO,2025-04-16,22:45:00,Abril
ME_MIGO_MIRO,2025-04-16,22:50:00,Abril
ME_MIGO_MIRO,2025-04-16,22:55:00,Abril
ME_MIGO_MIRO,2025-04-16,23:00:01,Abril
ME_MIGO_MIRO,2025-04-16,23:05:00,Abril
ME_MIGO_MIRO,2025-04-16,23:10:00,Abril
ME_MIGO_MIRO,2025-04-16,23:15:00,Abril
ME_MIGO_MIRO,2025-04-16,23:20:04,Abril
ME_MIGO_MIRO,2025-04-16,23:25:00,Abril
ME_MIGO_MIRO,2025-04-16,23:30:00,Abril
ME_MIGO_MIRO,2025-04-16,23:35:00,Abril
ME_MIGO_MIRO,2025-04-16,23:40:00,Abril
ME_MIGO_MIRO,2025-04-16,23:45:00,Abril
ME_MIGO_MIRO,2025-04-16,23:50:00,Abril
ME_MIGO_MIRO,2025-04-16,23:55:00,Abril
ZFIR_REL_CB_BANCOS_90,2025-04-16,11:00:01,Abril
ZMM_CORRIGE_NOTAS_FOPAG_MES,2025-04-16,20:00:00,Abril
ZMMR_CALCULA_ZMBEW,2025-04-16,22:35:00,Abril
ZMMR_CALCULA_ZMBEW,2025-04-16,22:40:01,Abril
ZMMR_CALCULA_ZMBEW,2025-04-16,22:45:00,Abril
ZMMR_CALCULA_ZMBEW,2025-04-16,22:50:00,Abril
ZMM_REC_CHAVE_ACESSO,2025-04-16,01:23:35,Abril
ZMM_REC_CHAVE_ACESSO,2025-04-16,08:38:33,Abril
ZMMR_NOTAS_XML,2025-04-16,04:20:12,Abril
ZSD_CARGA_FAT_MIDIA,2025-04-16,05:21:05,Abril
ZMM_CORRIGE_NOTAS_FOPAG_MES,2025-04-27,20:00:14,Abril
ZSD_DEV_INFO_NFD_CLIENTE_EMAIL,2025-04-27,16:00:24,Abril
ZSD_ENVIA_EMAIL_CDA,2025-04-27,22:00:30,Abril
ZSD_ENVIA_EMAIL_CDA_D1,2025-04-27,01:00:02,Abril
ZSD_INTERF_DEV_BIS_H,2025-04-27,03:00:01,Abril
ZFI_CARGA_RECEIV_B,2025-04-07,06:30:04,Abril
ZFI_CARGA_RECEIV_D,2025-04-07,07:20:07,Abril
ZFI_CARGA_RECEIV_D,2025-04-07,08:20:01,Abril
ZFI_CARGA_RECEIV_D_LOCAFARMA,2025-04-07,07:00:31,Abril
ZFI_CARGA_RECEIV_D_LOCAFARMA,2025-04-07,08:00:27,Abril
ZFIFLC_GERA_TRANSITO,2025-04-07,05:00:09,Abril
ZFIFLC_GERA_TRANSITO,2025-04-07,05:00:10,Abril
ZFIP_EXT_104_153622,2025-04-07,08:50:07,Abril
ZFIP_EXT_104_9015360,2025-04-07,08:59:02,Abril
ZFIP_EXT_341_210675,2025-04-07,08:51:01,Abril
ZFIP_EXT_341_33296,2025-04-07,08:53:01,Abril
ZFIP_EXT_341_33352,2025-04-07,08:51:01,Abril
ZFIP_EXT_341_33462,2025-04-07,08:54:07,Abril
ZFIP_EXT_341_33465,2025-04-07,08:50:07,Abril
ZFIP_EXT_341_342403,2025-04-07,08:50:07,Abril
ZFIP_PFM_EXJ_237_050955,2025-04-07,08:50:08,Abril
ZFIP_PFM_EXT_001_010986,2025-04-07,08:50:07,Abril
ZFIP_PFM_EXT_001_010987,2025-04-07,08:50:07,Abril
ZFIP_PFM_EXT_001_010990,2025-04-07,08:50:07,Abril
ZFIP_PFM_EXT_001_14052X,2025-04-07,08:56:07,Abril
